timestamp,pos_0,cmd_0,err_0,pos_1,cmd_1,err_1,pos_2,cmd_2,err_2
1778741415,-0.014454,0,0.014454,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014542,0,0.014542,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009073,0,0.009073,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009162,0,0.009162,0.010917,0,-0.010917
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009162,0,0.009162,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009162,0,0.009162,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014454,0,0.014454,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014498,0,0.014498,-0.009117,0,0.009117,0.010945,0,-0.010945
1778741415,-0.014454,0,0.014454,-0.009117,0,0.009117,0.010945,0,-0.010945
